Ref,Val,Package,PosX,PosY,Rot,Side
"C401","1u","C_0201_0603Metric",220.9000,-130.3000,0.0000,bottom
"C402","100n","C_0201_0603Metric",216.3304,-136.3000,180.0000,bottom
"C403","2u2","C_0402_1005Metric",192.3250,-148.6750,180.0000,top
"C404","10u","C_0402_1005Metric",224.4000,-135.9500,0.0000,bottom
"C405","1u","C_0201_0603Metric",222.7304,-131.0878,90.0000,bottom
"C406","10u","C_0402_1005Metric",217.8920,-142.3084,90.0000,bottom
"C407","10u","C_0603_1608Metric",221.6570,-139.9364,0.0000,bottom
"C408","10u","C_0402_1005Metric",223.8304,-139.2782,-90.0000,bottom
"C409","10u","C_0603_1608Metric",218.6220,-139.9364,180.0000,bottom
"C410","10u","C_0603_1608Metric",220.7614,-131.4972,0.0000,bottom
"C501","100n","C_0201_0603Metric",221.2341,-128.8795,45.0000,top
"C502","100n","C_0201_0603Metric",197.6753,-128.0247,-135.0000,top
"C503","100n","C_0201_0603Metric",210.4625,-134.2375,90.0000,top
"C504","100n","C_0201_0603Metric",210.5075,-136.0625,-90.0000,top
"C505","220n","C_0201_0603Metric",212.7800,-130.6670,180.0000,top
"C506","10u","C_0402_1005Metric",211.0550,-132.1875,90.0000,top
"C507","100n","C_0201_0603Metric",213.9761,-132.3075,-90.0000,top
"C508","100n","C_0201_0603Metric",213.1000,-127.6750,-90.0000,top
"C509","100n","C_0201_0603Metric",214.2825,-126.8575,0.0000,top
"C510","100n","C_0201_0603Metric",195.9000,-142.2000,90.0000,bottom
"C511","100n","C_0201_0603Metric",215.7550,-143.8000,180.0000,bottom
"C512","10u","C_0402_1005Metric",224.5000,-137.1000,0.0000,bottom
"C601","1u","C_0201_0603Metric",209.0000,-140.7000,-90.0000,bottom
"C602","100n","C_0201_0603Metric",201.0500,-151.3550,90.0000,bottom
"C603","100n","C_0201_0603Metric",203.7000,-133.1000,-90.0000,top
"C604","100n","C_0201_0603Metric",201.2300,-132.7900,180.0000,top
"IC401","nPM1300-QEXX","QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm",220.2000,-135.7000,90.0000,bottom
"IC501","APDS-9306-065","Broadcom_DFN-6_2x2mm_P0.65mm",220.1470,-127.6333,45.0000,top
"IC502","BMI270","Bosch_LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y",212.1000,-135.2000,-90.0000,top
"IC503","LIS2MDLTR","LGA-12_2x2mm_P0.5mm",212.6050,-132.1500,180.0000,top
"IC504","BMP581","Bosch_LGA-10_2x2mm_P0.5mm_ClockwisePinNumbering",214.5000,-128.2375,90.0000,top
"IC505","DRV2603RUNT","WQFN-10_2x2mm_P0.5mm",197.4000,-142.1500,180.0000,bottom
"IC506","PCA9306JK","XSON-8_0.65x0.17mm_P0.35mm",216.1800,-147.5000,90.0000,bottom
"IC507","RV-8263-C8","RV-8263-C8",215.7550,-145.4300,0.0000,bottom
"IC601","FAN5622SX","TSOT-23-6",206.5375,-140.1500,180.0000,bottom
"IC602","USBLC6-2P6","SOT-666",207.0375,-131.3500,-90.0000,top
"IC603","MX25U51245GZ4I00","WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm",197.3000,-147.1350,0.0000,bottom
"IC604","NTS0104GU12","XQFN-12-1.7x2mm_P0.4mm",202.4500,-131.1900,180.0000,top
"J1","53261-0271","molex_pico",188.9000,-145.7250,-90.0000,top
"L401","2u2","L_0603_1608Metric",219.3710,-142.3494,90.0000,bottom
"L402","2u2","L_0603_1608Metric",221.9110,-141.5000,180.0000,bottom
"M601","NORA-B106","NORA-B106",207.0000,-150.1000,-90.0000,top
"MK501","SPK0641HT4H-1","SPK0641HT4H-1",198.8208,-129.5662,135.0000,top
"R407","47k","R_0201_0603Metric",218.4500,-131.6084,-90.0000,bottom
"R408","100k","R_0201_0603Metric",217.7500,-131.6084,-90.0000,bottom
"R501","1k8","R_0201_0603Metric",216.2100,-148.7000,0.0000,bottom
"R502","1k8","R_0201_0603Metric",214.7550,-148.6000,180.0000,bottom
"R504","3k3","R_0201_0603Metric",217.1000,-145.5000,90.0000,bottom
"R505","3k3","R_0201_0603Metric",215.1100,-147.4200,-90.0000,bottom
"R506","200k","R_0201_0603Metric",217.8000,-145.5000,90.0000,bottom
"R601","12k","R_0201_0603Metric",207.9000,-138.0000,180.0000,bottom
"R613","100k","R_0201_0603Metric",202.6300,-132.7900,0.0000,top
"S501","SW1","43633303381_NoMountingPads",216.7000,-124.7000,145.0000,top
"S502","SW2","43633303381_NoMountingPads",216.6000,-152.1000,35.0000,top
"S503","SW3","43633303381_NoMountingPads",197.4333,-124.8907,-145.0000,top
"S504","SW4","43633303381_NoMountingPads",197.4094,-152.1524,-35.0000,top
"TP1","TestPoint","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",186.5000,-142.6000,0.0000,top
"TP3","TestPoint","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",186.5000,-148.8000,0.0000,top
"X509","Motor","78171-0002",193.9500,-140.8000,180.0000,top
"X603","Device","USB_C_Receptacle_Amphenol_12401610E4-2A",207.0000,-123.9000,180.0000,top
"X608","Display","ER-CON0.4-24P",199.0000,-138.5000,90.0000,top
"X701","MB1","101R014FB110",212.3000,-139.1000,90.0000,bottom
"X702","MB2","101R014FB110",200.8000,-138.5000,-90.0000,bottom
